Order_ID,Order_Date,Customer,Gender,City,Region,Category,Product,Quantity,Unit_Price,Discount,Sales_Amount
1001,2026-01-01,Rahul,Female,Mumbai,North,Clothing,Oil,5,47791,0.05,227007.25
1002,2026-01-02,Vijay,Male,Pune,West,Furniture,Chair,2,27832,0.05,52880.8
1003,2026-01-03,Kiran,Male,Chennai,West,Grocery,Chair,4,6094,0.0,24376.0
1004,2026-01-04,Rahul,Male,Delhi,North,Grocery,Laptop,2,40799,0.0,81598.0
1005,2026-01-05,Anjali,Male,Hyderabad,West,Electronics,Shirt,5,7871,0.0,39355.0
1006,2026-01-06,Sneha,Male,Delhi,North,Grocery,Chair,5,47815,0.15,203213.75
1007,2026-01-07,Kiran,Female,Pune,West,Furniture,Mobile,3,18528,0.05,52804.8
1008,2026-01-08,Kiran,Male,Pune,North,Grocery,Oil,3,36412,0.05,103774.2
1009,2026-01-09,Rahul,Female,Hyderabad,North,Electronics,Laptop,1,14490,0.15,12316.5
1010,2026-01-10,Suresh,Female,Bangalore,West,Electronics,Mobile,5,47351,0.0,236755.0
1011,2026-01-11,Anjali,Male,Hyderabad,South,Furniture,Rice,3,17126,0.15,43671.3
1012,2026-01-12,Rahul,Male,Mumbai,West,Furniture,Table,2,20969,0.0,41938.0
1013,2026-01-13,Anjali,Female,Chennai,North,Grocery,Rice,4,41222,0.05,156643.6
1014,2026-01-14,Anjali,Male,Bangalore,South,Grocery,Table,2,40537,0.1,72966.6
1015,2026-01-15,Sneha,Male,Hyderabad,West,Electronics,Rice,4,7630,0.0,30520.0
1016,2026-01-16,Kiran,Female,Delhi,West,Furniture,Chair,3,7328,0.05,20884.8
1017,2026-01-17,Vijay,Female,Bangalore,West,Furniture,Mobile,1,42112,0.05,40006.4
1018,2026-01-18,Sneha,Male,Bangalore,South,Furniture,Table,2,47488,0.1,85478.40000000001
1019,2026-01-19,Sneha,Female,Hyderabad,North,Grocery,Laptop,2,39599,0.05,75238.09999999999
1020,2026-01-20,Anjali,Male,Bangalore,West,Furniture,Mobile,2,46665,0.05,88663.5
1021,2026-01-21,Priya,Male,Delhi,West,Electronics,Laptop,4,18383,0.0,73532.0
1022,2026-01-22,Kiran,Male,Pune,West,Electronics,Mobile,3,43559,0.0,130677.0
1023,2026-01-23,Suresh,Female,Bangalore,West,Grocery,Mobile,2,19042,0.1,34275.6
1024,2026-01-24,Sneha,Female,Pune,West,Clothing,Rice,2,43432,0.1,78177.6
1025,2026-01-25,Vijay,Female,Delhi,North,Grocery,Table,1,10950,0.05,10402.5
1026,2026-01-26,Priya,Female,Hyderabad,North,Clothing,Table,1,20923,0.0,20923.0
1027,2026-01-27,Priya,Female,Chennai,West,Furniture,Shirt,3,2535,0.1,6844.5
1028,2026-01-28,Suresh,Male,Bangalore,South,Grocery,Mobile,3,44731,0.1,120773.7
1029,2026-01-29,Sneha,Male,Chennai,North,Electronics,Chair,5,41245,0.15,175291.25
1030,2026-01-30,Vijay,Male,Delhi,South,Furniture,Chair,1,17741,0.1,15966.9
1031,2026-01-31,Kiran,Male,Bangalore,North,Electronics,Laptop,5,23654,0.05,112356.5
